Avg_price,Avg_rating,Total_airbnbs,Two_year_business_survival_rates,Unemployment_Rate,Ethnic_diversity_index,Median_Household_Income,Median_House_Price,pct_level4_qualification,Public_transport_access,Median_Age,Crime_Rate_Per_1000
188.3782772,89.72659176,160,64.3,2,2.69,99390,799999,100,7.9,41,194.04866
61.34375,92.85,645,73,10.8,3.54,34080,243500,35.8,3,32,80.12849607
84.5751938,93.51627907,104,73.8,8.7,3.99,54530,445000,55.4,3,36,60.68575544
60.85576923,95,1112,73.5,7.5,1.65,44430,275000,38.3,2.6,38,47.85608571
92.52967626,92.37230216,272,74.4,7.4,8.55,39630,407250,53.4,3.7,34,74.41342802
64.62867647,94.88970588,3195,78.6,5.4,1.65,55140,374975,51.4,2.8,40,60.25311413
150.9032864,91.16932707,267,73.6,4,4.12,67990,700000,73.5,5.7,33,118.0475716
62.0744186,93.70930233,430,75.3,4.2,3.96,45120,300000,45.9,3.2,36,70.66003617
86.07692308,93.59018568,754,75.8,5.8,6.36,45690,430000,57.1,3.3,35,72.49837775
67.63843648,92.86319218,307,74.2,3.5,4.61,41250,320000,50.4,3,35,64.1671853
97.00382653,93.80867347,784,72.7,7.9,3.26,44370,340000,48.7,3.4,34,74.35294293
102.940167,94.43692022,2156,76.8,5.8,5.4,42690,485000,59.5,4.9,31,94.51643549
145.9130219,91.63170974,2012,73.4,4.7,3.95,62910,730000,73.7,4.7,34,104.953326
86.69088812,94.3160323,867,74.4,5.7,5.16,45860,432500,56.6,4.3,34,88.33412449
84.15816327,92.85204082,196,76.5,4.7,5.25,49060,396150,53.4,2.9,37,48.63197174
64.421875,93.421875,128,75.3,5.2,1.43,44430,287500,30,2.5,40,62.2992674
70.62536023,92.48126801,347,75,5.7,3.29,44950,350000,45.1,2.4,35,68.83050326
94.1,93.284,500,76.2,4.4,4.83,44490,355000,52.4,3,34,75.57009881
120.6610338,92.89264414,2012,72.5,4.5,3.75,54950,583000,72,5.7,32,116.8438673
210.6858438,91.62343096,2868,74.5,4.4,4,116350,1200000,73.6,5.8,38,115.5899866
83.70703125,94.546875,256,76.8,4.6,2.39,56920,410000,59.5,2.9,36,54.63114417
105.1070764,93.66154562,2148,63.8,6,4.87,48610,450000,73.1,5,32,100.5480554
68.16819222,93.59496568,874,73.4,5.8,4.64,43360,352000,58.2,4.1,34,77.25745291
95.75247525,94.04950495,505,78.4,4.5,3.7,57160,415000,62,3.4,35,57.55841093
82.95421436,91.98959417,961,70,8.9,9.19,34260,305000,50.2,3.9,30,84.83544132
71.40514469,91.07395498,311,74.7,8.1,5.68,45380,345000,51.2,3,34,60.75992561
120.2325175,95.29195804,572,78.8,3.9,1.9,76610,575000,75,3.1,39,50.81488752
122.6552655,92.67821782,2222,73.4,7.8,4.75,48000,475000,64.4,4.9,32,95.03930085
52.43382353,93.44117647,136,76,5.5,1.95,49170,320000,44.8,2.9,39,50.21853897
95.43444125,90.56922272,3821,69.7,9,4.53,45720,415000,54.6,5,30,92.64651515
66.66148532,94.19861831,579,71,5.3,5.58,39460,366569,50.6,3.6,34,74.29669428
120.1130536,94.07750583,1716,75.8,5.5,3.15,66220,557000,71.8,4.3,33,68.19266687
220.5099338,90.46864044,5134,68.8,9,4.92,80760,920000,71.5,6.5,36,194.04866
