New code,Area name,Total_airbnbs,Avg_rating,Avg_price,Two-year business survival rates ,Unemployment_Rate,Ethnic_diversity_index,Median Household Income 2015,Median House Price,%_level4_qualification,Public_transport_access,Median_Age,Crime_Rate_Per_1000
E09000001,City of London,160,89.72659176,188.3782772,64.3,2,2.69,99390,799999,100,7.9,41,194.04866
E09000002,Barking and Dagenham,645,92.85,61.34375,73,10.8,3.54,34080,243500,35.8,3,32,80.12849607
E09000003,Barnet,104,93.51627907,84.5751938,73.8,8.7,3.99,54530,445000,55.4,3,36,60.68575544
E09000004,Bexley,1112,95,60.85576923,73.5,7.5,1.65,44430,275000,38.3,2.6,38,47.85608571
E09000005,Brent,272,92.37230216,92.52967626,74.4,7.4,8.55,39630,407250,53.4,3.7,34,74.41342802
E09000006,Bromley,3195,94.88970588,64.62867647,78.6,5.4,1.65,55140,374975,51.4,2.8,40,60.25311413
E09000007,Camden,267,91.16932707,150.9032864,73.6,4,4.12,67990,700000,73.5,5.7,33,118.0475716
E09000008,Croydon,430,93.70930233,62.0744186,75.3,4.2,3.96,45120,300000,45.9,3.2,36,70.66003617
E09000009,Ealing,754,93.59018568,86.07692308,75.8,5.8,6.36,45690,430000,57.1,3.3,35,72.49837775
E09000010,Enfield,307,92.86319218,67.63843648,74.2,3.5,4.61,41250,320000,50.4,3,35,64.1671853
E09000011,Greenwich,784,93.80867347,97.00382653,72.7,7.9,3.26,44370,340000,48.7,3.4,34,74.35294293
E09000012,Hackney,2156,94.43692022,102.940167,76.8,5.8,5.4,42690,485000,59.5,4.9,31,94.51643549
E09000013,Hammersmith and Fulham,2012,91.63170974,145.9130219,73.4,4.7,3.95,62910,730000,73.7,4.7,34,104.953326
E09000014,Haringey,867,94.3160323,86.69088812,74.4,5.7,5.16,45860,432500,56.6,4.3,34,88.33412449
E09000015,Harrow,196,92.85204082,84.15816327,76.5,4.7,5.25,49060,396150,53.4,2.9,37,48.63197174
E09000016,Havering,128,93.421875,64.421875,75.3,5.2,1.43,44430,287500,30,2.5,40,62.2992674
E09000017,Hillingdon,347,92.48126801,70.62536023,75,5.7,3.29,44950,350000,45.1,2.4,35,68.83050326
E09000018,Hounslow,500,93.284,94.1,76.2,4.4,4.83,44490,355000,52.4,3,34,75.57009881
E09000019,Islington,2012,92.89264414,120.6610338,72.5,4.5,3.75,54950,583000,72,5.7,32,116.8438673
E09000020,Kensington and Chelsea,2868,91.62343096,210.6858438,74.5,4.4,4,116350,1200000,73.6,5.8,38,115.5899866
E09000021,Kingston upon Thames,256,94.546875,83.70703125,76.8,4.6,2.39,56920,410000,59.5,2.9,36,54.63114417
E09000022,Lambeth,2148,93.66154562,105.1070764,63.8,6,4.87,48610,450000,73.1,5,32,100.5480554
E09000023,Lewisham,874,93.59496568,68.16819222,73.4,5.8,4.64,43360,352000,58.2,4.1,34,77.25745291
E09000024,Merton,505,94.04950495,95.75247525,78.4,4.5,3.7,57160,415000,62,3.4,35,57.55841093
E09000025,Newham,961,91.98959417,82.95421436,70,8.9,9.19,34260,305000,50.2,3.9,30,84.83544132
E09000026,Redbridge,311,91.07395498,71.40514469,74.7,8.1,5.68,45380,345000,51.2,3,34,60.75992561
E09000027,Richmond upon Thames,572,95.29195804,120.2325175,78.8,3.9,1.9,76610,575000,75,3.1,39,50.81488752
E09000028,Southwark,2222,92.67821782,122.6552655,73.4,7.8,4.75,48000,475000,64.4,4.9,32,95.03930085
E09000029,Sutton,136,93.44117647,52.43382353,76,5.5,1.95,49170,320000,44.8,2.9,39,50.21853897
E09000030,Tower Hamlets,3821,90.56922272,95.43444125,69.7,9,4.53,45720,415000,54.6,5,30,92.64651515
E09000031,Waltham Forest,579,94.19861831,66.66148532,71,5.3,5.58,39460,366569,50.6,3.6,34,74.29669428
E09000032,Wandsworth,1716,94.07750583,120.1130536,75.8,5.5,3.15,66220,557000,71.8,4.3,33,68.19266687
E09000033,Westminster,5134,90.46864044,220.5099338,68.8,9,4.92,80760,920000,71.5,6.5,36,194.04866
