Borough,Review Count GuestPolarity,Mean GuestPolarity,Review Count GuestSubjectivity,Mean GuestSubjectivity,Review Count HostPolarity,Mean HostPolarity,Review Count HostSubjectivity,Mean HostSubjectivity
Barking and Dagenham,1252,0.335933336,1252,0.53514782,1252,0.192452353,1252,0.328883383
Barnet,12912,0.374061774,12912,0.572839377,12912,0.19001024,12912,0.396719609
Bexley,1171,0.388624675,1171,0.583903776,1171,0.222371735,1171,0.401186812
Brent,33523,0.352358607,33523,0.54728613,33523,0.229542421,33523,0.392669102
Bromley,5236,0.383621463,5236,0.572572747,5236,0.186538584,5236,0.365666914
Camden,93700,0.3573825,93700,0.549833349,93700,0.192621829,93700,0.349542907
City of London,6804,0.357697177,6804,0.54629489,6804,0.207325838,6804,0.332814486
Croydon,7367,0.376981603,7367,0.57328701,7367,0.168792147,7367,0.339476827
Ealing,23782,0.380686003,23782,0.581018987,23782,0.142334272,23782,0.30339079
Enfield,5240,0.379564679,5240,0.574783093,5240,0.147932885,5240,0.343728398
Greenwich,16576,0.389381721,16576,0.584274713,16576,0.198168883,16576,0.386741248
Hackney,65777,0.379265098,65777,0.573688827,65777,0.235972497,65777,0.406207822
Hammersmith and Fulham,56404,0.363914961,56404,0.561128686,56404,0.210698773,56404,0.397926559
Haringey,25513,0.376071674,25513,0.571535546,25513,0.222692494,25513,0.391974127
Harrow,4458,0.398836713,4458,0.593610227,4458,0.195305233,4458,0.331454582
Havering,1209,0.413303122,1209,0.601599059,1209,0.157422169,1209,0.320776285
Hillingdon,8823,0.40564311,8823,0.603104617,8823,0.159522591,8823,0.37760898
Hounslow,13367,0.401191865,13367,0.602970945,13367,0.221913334,13367,0.383923291
Islington,69222,0.359560784,69222,0.552324975,69222,0.192277649,69222,0.359652135
Kensington and Chelsea,72899,0.366200845,72899,0.563990932,72899,0.220498486,72899,0.404127909
Kingston upon Thames,5354,0.40099636,5354,0.599069144,5354,0.22117635,5354,0.382158683
Lambeth,85123,0.354031213,85123,0.546333292,85123,0.191856424,85123,0.379716008
Lewisham,23213,0.358294258,23213,0.554792569,23213,0.189816334,23213,0.363587314
Merton,9905,0.405281178,9905,0.598594829,9905,0.170737883,9905,0.383242647
Newham,22111,0.358904015,22111,0.557079621,22111,0.169675033,22111,0.344601368
Redbridge,6259,0.372885316,6259,0.569936275,6259,0.187508574,6259,0.323412812
Richmond upon Thames,17916,0.418433859,17916,0.616911419,17916,0.211845925,17916,0.406421796
Southwark,73087,0.352309049,73087,0.545336088,73087,0.204895983,73087,0.371063149
Sutton,3266,0.406789883,3266,0.600419006,3266,0.274345165,3266,0.417241899
Tower Hamlets,101070,0.353304332,101070,0.546641956,101070,0.213867208,101070,0.394392768
Waltham Forest,12006,0.363384897,12006,0.560178275,12006,0.220814053,12006,0.396195599
Wandsworth,43995,0.380166429,43995,0.574042664,43995,0.187691108,43995,0.389922313
Westminster,120035,0.350570897,120035,0.540740405,120035,0.19150404,120035,0.372829161
